AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0.7766666,5.982231,4,0.8,0,96.51335,11.16667,0
1,0,0.55,7.880565,5,1,0,118.0515,33,1
2,0,0.5733333,8.583261,5,1,0,117.723,21.33333,0
3,0,0.8666667,6.097548,9,1.8,0,103.3715,20,0
4,0,0.7,4.652293,5,1,0,99.14661,15,0
5,0,0.7166666,7.404428,5,1,0,120.328,20.5,0
6,0,0.58,8.569267,4,0.8,0,114.9123,20.75,0
7,0,0.74,5.047524,6,1.2,0,97.59135,11.14286,0
8,0,0.8466667,6.506526,5,1,0,108.2069,11.5,0
9,0,0.85,5.488214,5,1,0,112.0747,7.5,0
10,0,0.9966667,4.603163,6,1.2,0,105.3519,1,0
11,0,0.49,14.38181,9,1.8,0,99.47194,18.625,1
12,0,0.5566667,6.834434,5,1,0,112.3319,26.5,0
13,0,0.9833333,4.539218,8,1.6,0,106.0676,1.25,1
14,0,0.9966667,4.581995,5,1,0,109.3985,1,0
15,0,0.83,5.458685,5,1,0,105.2486,10.2,0
16,0,0.87,7.385044,6,1.2,0,111.4224,6.5,0
17,0,0.8033333,8.08024,4,0.8,0,121.927,14.75,0
18,0,0.7266667,6.938827,5,1,0,90.0587,16.4,0
19,0,0.6666667,6.150581,8,1.6,0,113.833,12.5,0
0,1,0.7833334,7.610702,4,0.8,0,98.27095,16.25,0
1,1,0.7033333,8.273418,7,1.4,0,102.0557,22.25,0
2,1,0.5,10.64492,5,1,0,124.5875,27,0
3,1,0.8666667,5.679864,5,1,0,115.7625,6.5,0
4,1,0.81,5.173397,7,1.4,0,110.4917,8.142858,0
5,1,0.71,6.931955,5,1,0,111.6756,14.5,0
6,1,0.8766667,6.300833,14,2.8,0,103.0962,5.285714,1
7,1,0.4833333,12.14878,12,2.4,0,118.7893,38.75,1
8,1,0.66,8.500735,5,1,0,122.8824,25.5,0
9,1,0.99,3.61943,7,1.4,0,100.1859,3,0
10,1,0.9166667,4.722722,5,1,0,106.7602,6.25,1
11,1,0.7666667,7.059355,4,0.8,0,116.785,17.5,0
12,1,0.76,5.138595,8,1.6,0,112.2566,9,0
13,1,0.8033333,7.924255,4,0.8,0,116.6045,19.66667,1
14,1,0.6166667,7.74244,3,0.6,0,100.839,29,0
15,1,0.7133333,6.237132,5,1,0,113.5054,15.8,0
16,1,0.58,8.142851,4,0.8,0,114.54,24.5,0
17,1,0.79,6.01509,7,1.4,0,113.497,9,1
18,1,0.6733333,8.714768,6,1.2,0,112.0433,16.33333,0
19,1,0.6733333,7.855821,5,1,0,119.6895,20.5,0
0,2,0.7233334,6.042755,6,1.2,0,111.1076,13.83333,0
1,2,0.85,5.976589,7,1.4,0,104.9447,9,1
2,2,0.8533334,4.049784,5,1,0,94.81111,8.75,0
3,2,0.8,7.251344,5,1,0,118.799,20,0
4,2,0.8633333,7.131929,6,1.2,0,97.91792,13.66667,0
5,2,0.8933333,6.417522,4,0.8,0,96.88123,8,0
6,2,0.9933333,3.851744,8,1.6,0,103.6729,2,0
7,2,0.7966667,6.675913,5,1,0,115.1926,10.16667,0
8,2,0.74,7.950686,3,0.6,0,112.8605,26,0
9,2,0.9933333,7.425915,4,0.8,0,85.56815,1,0
10,2,0.8766667,5.163449,6,1.2,0,103.3745,7.4,0
11,2,0.7066666,9.969174,5,1,0,115.7081,17.6,0
12,2,0.7766666,7.940098,5,1,0,115.4671,14.75,0
13,2,0.9966667,5.248505,7,1.4,0,101.9637,1,0
14,2,0.8633333,6.680268,5,1,0,98.11475,20.5,0
15,2,0.6666667,7.95151,13,2.6,0,105.2404,10,0
16,2,0.82,7.789577,4,0.8,0,108.0329,16,0
17,2,0.63,7.358418,6,1.2,0,112.6222,22.2,0
18,2,0.8566667,6.144472,6,1.2,0,101.7194,10.75,0
19,2,0.9333333,7.262382,5,1,0,118.7345,4,0
0,3,0.7633333,10.56488,5,1,0,115.2244,11.83333,0
1,3,0.88,5.486588,6,1.2,0,98.11732,9,0
2,3,0.8733333,7.270513,4,0.8,0,104.545,7.6,0
3,3,0.9233333,5.51942,6,1.2,0,104.8994,3.833333,0
4,3,0.56,9.047876,2,0.4,0,107.9553,3.142857,0
5,3,0.7533333,8.393136,8,1.6,0,94.46188,14.8,0
6,3,0.8533334,4.240177,5,1,0,99.04189,8.8,0
