AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
7,67,0.21,17.91137,103,20.6,1,145.9701,11.64706,2
13,68,0.18,12.49003,87,17.4,0,116.1912,41.8,0
0,64,0.1066667,20.36015,74,14.8,0,115.1664,16.75,0
17,68,0.04333333,22.52859,93,18.6,0,94.76826,20.66667,1
5,62,0.17,16.19948,90,18,0,111.9737,26.33333,0
15,71,0,30.86839,98,19.6,0,87.73994,0,1
8,68,0.31,12.78856,81,16.2,0,128.7477,16.81818,1
10,72,0.2733333,15.006,70,14,0,102.6821,21.11111,1
6,70,0.5,9.380304,97,19.4,0,116.016,7.352941,2
3,70,0.2333333,19.32743,78,15.6,0,133.5465,18.25,0
19,68,0.03666667,32.37077,70,14,0,104.659,5,0
16,65,0.08666667,24.28241,115,23,0,100.4377,62,1
9,67,0.1066667,27.16597,73,14.6,0,111.5603,46.2,1
12,72,0.36,14.25004,91,18.2,0,112.0392,17.45455,0
4,66,0.1366667,22.62635,88,17.6,0,108.2159,20.58333,0
14,65,0.05,24.1519,80,16,0,91.60762,62.25,0
2,65,0.01666667,23.81047,67,13.4,0,92.55025,70,0
11,67,0.2166667,15.94638,99,19.8,0,139.4011,6.761905,1
1,66,0.09,22.42488,64,12.8,0,119.1069,33.42857,0
18,65,0.5466667,11.7959,80,16,0,114.7501,17,1
7,68,0,30.0589,62,12.4,0,79.52132,0,0
13,69,0.1033333,27.89023,62,12.4,0,116.0353,33.14286,0
0,65,0.05,24.47485,80,16,0,100.3054,47.6,0
17,69,0.21,16.83673,81,16.2,1,145.7595,13.82353,0
5,63,0.06,27.69196,83,16.6,0,115.997,45,2
15,72,0.05,19.64799,85,17,0,98.94701,81.33334,0
8,69,0.3666667,14.18659,65,13,0,127.7929,21.25,0
10,73,0,29.22577,82,16.4,0,83.53506,0,0
6,71,0.3166667,9.667818,83,16.6,0,114.2925,14.14286,0
3,71,0.12,16.57394,72,14.4,0,101.9583,36.28571,0
19,69,0.09,16.43761,66,13.2,0,94.99271,36.85714,0
16,66,0.5766667,8.584246,57,11.4,0,121.5368,11.45455,0
9,68,0.7133333,9.4785,65,13,0,125.5556,9.555555,0
12,73,0.06333333,23.81852,48,9.6,0,95.356,44.83333,0
4,67,0.05666667,22.14446,75,15,0,100.6632,36.2,0
14,66,0.06666667,24.80368,69,13.8,0,111.4265,42.5,1
2,66,0.33,14.09193,67,13.4,0,130.2829,18.27273,0
11,68,0.08,24.79678,83,16.6,0,116.0937,41.8,0
1,67,0.3366667,13.4625,76,15.2,0,116.0785,15.30769,1
18,66,0.15,17.76379,75,15,0,105.9055,29.625,0
7,69,0,25.78344,62,12.4,0,83.8903,0,0
13,70,0.6133333,9.541527,94,18.8,0,106.6056,6.444445,0
0,66,0.7066666,8.262674,78,15.6,0,110.9781,8.777778,2
17,70,0.02666667,24.54513,46,9.2,0,97.313,86.33334,0
5,64,0.11,16.23984,45,9,0,100.566,30.85714,0
15,73,0.2533333,19.11834,79,15.8,0,127.5416,23.125,0
8,70,0.4866667,13.96998,83,16.6,2,145.0098,12.83333,1
10,74,0.2133333,18.78742,77,15.4,0,130.808,15.71429,0
6,72,0.04,18.59637,54,10.8,0,98.54732,71.66666,0
3,72,0.06,25.85673,100,20,0,107.5977,56,0
19,70,0.05,20.13132,69,13.8,0,92.67444,95,0
16,67,0.2233333,17.09409,73,14.6,0,107.1261,21.2,0
9,69,0.33,13.63626,71,14.2,0,105.7459,20.33333,0
12,74,0.05666667,20.90543,70,14,0,102.5552,38.8,0
4,68,0,30.80128,48,9.6,0,73.60613,0,0
14,67,0,27.58552,90,18,0,86.73314,0,1
2,67,0,27.45831,72,14.4,0,76.02332,0,0
11,69,0.03,24.60483,72,14.4,0,102.2576,10.66667,1
1,68,0.1666667,19.89295,87,17.4,0,103.5831,37.83333,0
18,67,0.1233333,19.64628,88,17.6,0,105.1322,16.625,0
7,70,0.1066667,20.1867,59,11.8,0,97.4557,31.75,0
13,71,0.1933333,20.08848,83,16.6,0,117.881,16,1
0,67,0.23,15.37057,81,16.2,0,122.9418,17.41667,0
17,71,0.04,18.47308,56,11.2,0,91.26221,57.6,0
5,65,0.05333333,22.54467,86,17.2,0,100.537,89.66666,0
15,74,0.38,13.39734,98,19.6,0,107.3076,16.63636,0
8,71,0.04666667,25.69535,87,17.4,0,99.15451,71,1
10,75,0.04666667,22.53428,79,15.8,0,106.1234,71.5,0
6,73,0.09333333,18.16163,82,16.4,0,110.1511,17.28572,0
3,73,0.02,29.36214,83,16.6,0,101.8177,135,1
19,71,0.22,13.27489,68,13.6,0,97.68072,23.2,0
16,68,0.14,13.80585,65,13,0,91.98576,28.66667,0
9,70,0.5466667,10.38589,91,18.2,0,111.9027,13.875,0
12,75,0.003333333,27.17688,84,16.8,0,85.08556,254,0
4,69,0,32.88345,68,13.6,0,76.58402,0,0
14,68,0.02333333,16.30079,59,11.8,0,92.0536,39.25,0
2,68,0.01,26.52089,79,15.8,0,94.18787,143,1
11,70,0.01333333,22.79806,73,14.6,0,98.00155,148,0
1,69,0.6066667,12.36635,60,12,2,143.3038,17.83333,0
18,68,0.2033333,13.46224,76,15.2,0,108.9081,29.14286,0
7,71,0.03333334,23.35766,69,13.8,0,91.98643,93,0
13,72,0.07666667,21.06145,82,16.4,0,104.2532,34,2
