AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
0,0,0,30.60966,1,0.2,0,66.48996,0,0
1,0,0.006666667,23.88219,1,0.2,0,81.29482,152,0
2,0,0,32.97641,1,0.2,0,66.60941,0,0
3,0,0,19.87286,1,0.2,0,81.69269,0,0
4,0,0.003333333,22.52497,1,0.2,0,85.83683,152,0
5,0,0,24.37128,1,0.2,0,73.48615,0,0
6,0,0,33.17019,1,0.2,0,63.65059,0,0
7,0,0,34.02104,1,0.2,0,64.48862,0,0
8,0,0,31.92989,1,0.2,0,64.73493,0,0
9,0,0,33.88967,1,0.2,0,67.4604,0,0
10,0,0,22.08525,1,0.2,0,75.67692,0,0
11,0,0,31.6898,1,0.2,0,64.81339,0,0
12,0,0,26.65774,1,0.2,0,72.34037,0,0
13,0,0.04333333,20.96942,1,0.2,0,97.45927,151,0
14,0,0,28.35575,1,0.2,0,68.39232,0,0
15,0,0,25.39477,1,0.2,0,71.05054,0,0
16,0,0,32.36491,1,0.2,0,66.76054,0,0
17,0,0,35.49731,1,0.2,0,63.14123,0,0
18,0,0,15.46374,1,0.2,0,80.26085,0,0
19,0,0,16.79841,1,0.2,0,79.50475,0,0
0,1,0,28.78872,1,0.2,0,67.74511,0,0
1,1,0,27.354,1,0.2,0,70.18015,0,0
2,1,0,31.49857,1,0.2,0,62.83648,0,0
3,1,0,30.67588,1,0.2,0,69.98528,0,0
4,1,0,18.49495,1,0.2,0,77.68468,0,0
5,1,0,25.99749,1,0.2,0,74.07129,0,0
6,1,0,21.99174,1,0.2,0,74.62959,0,0
7,1,0,15.66139,1,0.2,0,80.03429,0,0
8,1,0,31.57661,1,0.2,0,68.03127,0,0
9,1,0,20.12217,1,0.2,0,81.36509,0,0
10,1,0,28.65301,1,0.2,0,84.5536,0,0
11,1,0,25.63416,1,0.2,0,72.81178,0,0
12,1,0,20.30164,1,0.2,0,75.86326,0,0
13,1,0,18.726,1,0.2,0,78.24093,0,0
14,1,0,27.66363,1,0.2,0,68.73875,0,0
15,1,0,22.06696,1,0.2,0,76.22006,0,0
16,1,0,16.88229,1,0.2,0,82.51835,0,0
17,1,0,33.98518,1,0.2,0,61.86834,0,0
18,1,0,33.94323,1,0.2,0,64.68816,0,0
19,1,0,18.95766,1,0.2,0,82.18681,0,0
0,2,0,21.24874,1,0.2,0,75.98833,0,0
1,2,0.03,18.9136,1,0.2,0,98.64588,152,0
2,2,0.006666667,21.1802,1,0.2,0,87.78741,151,0
3,2,0.02333333,16.7788,1,0.2,0,87.48353,152,0
4,2,0,37.33307,1,0.2,0,62.03811,0,0
5,2,0,18.77673,1,0.2,0,80.39413,0,0
6,2,0,29.571,1,0.2,0,68.00081,0,0
7,2,0,15.52068,1,0.2,0,79.0455,0,0
8,2,0,24.62925,1,0.2,0,73.2487,0,0
9,2,0,27.54763,1,0.2,0,70.43539,0,0
10,2,0,28.23601,1,0.2,0,69.44167,0,0
11,2,0,18.95637,1,0.2,0,77.49756,0,0
12,2,0,37.36553,1,0.2,0,72.977,0,0
13,2,0,33.92038,1,0.2,0,63.10078,0,0
14,2,0,27.42897,1,0.2,0,66.57761,0,0
15,2,0,24.70033,1,0.2,0,81.47968,0,0
16,2,0,19.77494,1,0.2,0,77.72703,0,0
17,2,0,25.65289,1,0.2,0,69.16685,0,0
18,2,0,21.70578,1,0.2,0,76.71825,0,0
19,2,0,25.13049,1,0.2,0,73.65234,0,0
0,3,0,25.34418,1,0.2,0,71.27592,0,0
1,3,0,17.53767,1,0.2,0,76.58502,0,0
2,3,0,23.69925,1,0.2,0,73.87319,0,0
