AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
6,0,0.4157303,14.32282,4,2.696629,1,156.1718,1,0
1,0,0.5833333,12.08802,7,3.181818,2,176.291,11,0
0,0,0.66,6.945536,11,2.2,0,105.0593,17,0
2,0,0.5266666,8.517463,5,1,0,116.7656,35.5,0
3,0,0.96,5.212685,8,1.6,0,104.9231,3,0
4,0,0.4633333,8.467565,15,3,0,105.2914,16.1,0
5,0,0.5766667,6.533792,6,1.2,0,112.4606,21.16667,1
7,0,0.72,5.486973,7,1.4,0,108.5241,11.71429,0
8,0,0.5266666,10.28635,5,1,0,127.5886,20.28572,0
9,0,0.5466667,8.414887,5,1,0,117.0333,18.2,0
10,0,0.6133333,10.7062,10,2,0,95.0026,14.5,0
11,0,0.39,9.854334,11,2.2,0,97.15111,16.5,0
12,0,0.68,6.367515,10,2,0,107.2546,10.66667,0
13,0,0.9766667,6.673063,5,1,0,108.843,3.5,0
14,0,0.8866667,5.699085,9,1.8,0,100.543,8.5,0
15,0,0.7066666,6.734226,7,1.4,0,106.0612,14.66667,0
16,0,0.76,7.307609,7,1.4,0,114.9689,12,0
17,0,0.5866666,9.912766,4,0.8,0,121.697,31,0
18,0,0.22,10.39318,11,2.2,0,95.98965,29.5,1
19,0,0.38,11.7451,5,1,0,125.2463,24.16667,0
6,1,0.5433334,8.850537,9,1.8,0,120.4154,22.83333,0
1,1,0.3033333,12.73947,4,0.8,0,129.6507,33.5,0
6,2,0.626943,8.164175,6,1.865285,1,151.6972,20,0
11,1,0.5,13.02626,5,1,1,163.8396,35.5,0
0,1,0.7266667,7.634241,6,1.2,0,112.0649,20.5,0
2,1,0.3066667,13.29446,4,0.8,0,122.4388,36,0
3,1,0.7433333,9.320688,4,0.8,0,119.7421,19.25,0
4,1,0.5866666,8.758641,5,1,0,119.5799,24.8,0
5,1,0.49,7.263819,4,0.8,0,106.2403,28.6,0
7,1,0.48,7.253031,4,0.8,0,114.3928,39,0
8,1,0.5766667,9.91544,7,1.4,0,118.5005,25.4,0
9,1,0.59,8.323693,5,1,0,114.4504,30,0
10,1,0.84,6.777503,6,1.2,0,110.1847,8,0
12,1,0.4133333,12.50637,6,1.2,0,127.3764,29.5,0
13,1,0.8033333,6.827081,6,1.2,0,103.7756,11.8,0
14,1,0.4733333,11.70954,5,1,0,128.1955,16.33333,0
15,1,0.89,8.776056,9,1.8,0,94.52748,5.5,0
16,1,0.7266667,7.704388,5,1,0,100.2324,20.25,0
17,1,0.7433333,8.009871,5,1,0,116.8029,19.25,0
18,1,0.6533333,10.43849,4,0.8,0,118.5806,31.33333,0
19,1,0.7666667,6.369913,5,1,0,108.8061,14,0
1,2,0.7933334,7.374654,9,1.8,0,116.9416,12.4,0
6,3,0.7866667,6.139116,8,1.6,0,101.24,12.8,0
11,2,0.8533334,4.866429,11,2.2,0,107.7235,7.333333,0
0,2,0.8666667,5.716839,10,2,0,108.0797,7.2,0
2,2,0.3866667,13.87334,5,1,0,130.0371,36.8,0
3,2,0.7533333,8.385093,6,1.2,0,118.8853,9.333333,0
4,2,0.3866667,11.8944,12,2.4,0,89.24747,13.14286,0
5,2,0.7266667,6.807197,9,1.8,0,109.1365,16.4,1
7,2,0.6833333,6.823262,8,1.6,0,115.7514,13.57143,0
8,2,0.6066667,7.74888,6,1.2,0,109.2902,15.83333,0
9,2,0.8333333,5.947014,12,2.4,0,102.0218,6,1
10,2,0.7866667,6.582977,7,1.4,0,106.763,7.714286,0
12,2,0.7466667,6.672135,5,1,0,113.6927,19,0
13,2,0.7833334,6.105532,11,2.2,0,105.46,13,0
14,2,0.87,5.468433,9,1.8,0,103.1984,13,0
15,2,0.48,9.870929,9,1.8,0,100.9394,22.28572,0
16,2,0.6066667,8.534446,7,1.4,0,111.7789,19.66667,0
17,2,0.8133333,6.367613,7,1.4,0,104.7945,9.333333,0
18,2,0.6733333,8.716897,7,1.4,0,116.7595,14,0
19,2,0.7233334,7.15322,6,1.2,0,114.6358,16.6,0
1,3,0.6033334,9.179209,7,1.4,0,121.1554,20.4,0
9,3,0.3489583,15.85913,12,3.75,6,155.952,50,0
6,4,0.8666667,5.295509,7,1.4,0,108.6742,6.666667,0
11,3,0.92,6.694532,5,1,0,105.0724,12,0
0,3,0.7633333,6.528855,10,2,0,103.7682,11.83333,0
2,3,0.7833334,7.177701,6,1.2,0,115.9871,10.83333,0
3,3,0.79,8.539558,6,1.2,0,107.7217,21,0
4,3,0.92,4.294878,10,2,0,104.9985,3.428571,1
5,3,0.3466667,11.65595,5,1,0,131.5307,53.66667,0
7,3,0.8333333,6.41681,8,1.6,0,105.377,12.5,0
8,3,0.5166667,7.322709,8,1.6,0,114.7691,24.16667,0
10,3,0.67,10.48367,5,1,0,125.2639,19.8,0
12,3,0.3133333,11.18614,6,1.2,0,126.6899,51.5,0
13,3,0.4966667,8.555271,14,2.8,0,95.41907,12.58333,0
14,3,0.3233333,15.49523,6,1.2,0,135.7451,101.5,0
15,3,0.54,9.999376,6,1.2,0,122.7667,20,0
16,3,0.7766666,4.482532,7,1.4,0,104.7867,8.166667,0
17,3,0.8933333,5.616474,10,2,0,104.7309,16,0
18,3,0.46,11.46588,3,0.6,0,124.1197,52.66667,0
19,3,0.4733333,7.742842,7,1.4,0,98.59711,18.66667,0
1,4,0.7366667,6.335129,7,1.4,0,109.563,10.28571,0
9,4,0.8566667,6.950315,10,2,0,100.4695,5.571429,0
14,4,0.6784141,8.160633,6,1.585903,1,160.8307,19.33333,1
6,5,0.59,7.932335,7,1.4,0,118.774,15.375,0
11,4,0.7133333,6.767224,6,1.2,0,103.9871,12.28571,0
0,4,0.7033333,6.879953,6,1.2,0,114.4331,13,0
2,4,0.8566667,5.219892,8,1.6,0,106.7404,8.6,0
3,4,0.8133333,7.477861,5,1,0,115.5455,9.333333,0
4,4,0.8633333,5.417694,6,1.2,0,102.9454,9,0
5,4,0.53,8.024941,5,1,0,114.0787,28.2,0
7,4,0.6566667,8.731364,8,1.6,0,116.7343,14.71429,0
8,4,0.4833333,12.31082,8,1.6,0,104.3344,31,0
10,4,0.7633333,5.586089,7,1.4,0,110.2753,10.14286,0
12,4,0.91,4.992937,7,1.4,0,103.7685,5.4,0
13,4,0.51,7.450602,7,1.4,0,116.024,24.5,0
15,4,0.5533333,9.997679,7,1.4,0,112.5715,26.8,0
16,4,0.8566667,5.549199,10,2,0,102.2028,14.33333,0
17,4,0.5933333,6.79473,9,1.8,0,115.6626,20.33333,0
18,4,0.7666667,5.221875,6,1.2,0,105.8149,10,0
19,4,0.76,8.434684,4,0.8,0,117.0339,14.4,0
13,5,0.45,13.63773,5,2.5,1,156.5162,9,0
1,5,0.7966667,5.52521,6,1.2,0,107.3792,9.833333,0
9,5,0.56,7.61921,6,1.2,0,112.3983,22,0
14,5,0.4233333,14.01327,5,1,0,125.1994,42,0
13,6,0.5859375,13.01565,7,3.28125,2,174.9825,8,1
19,5,0.25,13.59656,6,1.304348,1,152.3413,43.66667,0
6,6,0.3866667,13.95503,5,1,0,121.037,30.16667,0
2,5,0.6195286,10.71673,8,1.616162,1,163.1391,17,1
11,5,0.5766667,10.96511,5,1,0,123.429,29.5,0
0,5,0.9966667,4.130399,6,1.2,0,101.6066,1,0
3,5,0.6,7.872313,5,1,0,114.7197,19.16667,0
4,5,0.52,9.685541,7,1.4,0,117.5548,22.2,0
5,5,0.5933333,8.934474,13,2.6,0,98.55844,15.25,0
7,5,0.92,4.410532,10,2,0,103.8791,4.8,0
8,5,0.6966667,7.178566,11,2.2,0,105.6521,9.1,0
10,5,0.5966667,10.88045,7,1.4,0,127.3144,20.16667,0
12,5,0.6566667,7.136629,5,1,0,113.7485,20.6,0
15,5,0.4133333,10.44781,6,1.2,0,123.0721,40.25,0
16,5,0.6533333,5.781197,7,1.4,0,101.0505,14.85714,0
17,5,0.89,6.063353,6,1.2,0,111.5347,11,0
18,5,0.71,9.767946,4,0.8,0,115.6232,21.75,0
5,6,0.5638298,10.40783,5,3.191489,4,168.345,29,0
11,6,0.6972477,9.491257,6,3.302752,1,157.8403,11,0
1,6,0.63,9.071625,4,0.8,0,120.9858,27.75,0
3,6,0.5147059,12.24649,5,2.205882,1,150.6802,14.66667,0
9,6,0.8766667,5.141606,7,1.4,0,108.8406,5.285714,0
14,6,0.3366667,12.44902,15,3,0,93.05512,17.18182,0
13,7,0.7766666,7.228568,7,1.4,0,120.3743,16.75,0
19,6,0.7,7.507016,7,1.4,0,111.5575,15,0
