AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
13,0,0.08333334,32.46721,10,50,2,170.1127,8,1
3,0,0.125,25.76471,10,37.5,3,156.8262,5,0
10,0,0.0625,35.53106,14,52.5,7,164.5162,3,1
12,0,0.05882353,29.54752,16,56.47059,4,160.4701,4,2
18,0,0.4545455,20.91303,15,40.90909,3,166.8244,1,1
17,0,0.04166667,28.89073,21,52.5,2,165.3271,17,0
4,0,0.1071429,30.88934,23,49.28571,11,155.9512,7,0
3,1,0.6315789,19.97741,13,41.05263,5,157.9213,1,2
19,0,0.1142857,20.07479,29,49.71429,1,154.0445,2,1
14,0,0.375,16.89792,30,45,4,162.3317,9.5,1
9,0,0.09302326,34.00613,39,54.41861,7,156.4892,11,0
8,0,0.06666667,36.84348,41,54.66667,2,153.9707,1,1
18,1,0.6666667,14.37856,19,47.5,2,170.5458,2,0
1,0,0.4693878,17.62775,38,46.53061,9,157.3165,12,0
2,0,0.1020408,20.17094,42,51.42857,4,153.6698,11.5,0
15,0,0.36,24.68556,38,45.6,8,156.1059,3,0
6,0,0.06779661,25.05298,46,46.77966,3,153.5515,7,1
19,1,0,32.01078,19,45.6,1,163.2333,0,0
14,1,0.3478261,15.17441,16,41.73913,1,152.9933,1,0
7,0,0.04545455,16.1707,52,47.27273,3,152.936,11.66667,1
9,1,0.03846154,29.04008,23,53.07692,2,160.0293,21,1
8,1,0.4444444,15.64125,26,57.77778,4,150.32,3,1
11,0,0.6388889,13.34156,60,50,2,156.6146,7,1
4,1,0.212766,19.23299,39,49.78724,1,166.9154,19,1
15,1,0.03846154,42.13119,21,48.46154,16,167.0647,2,2
5,0,0.1410256,26.1923,67,51.53846,3,159.5561,6,0
2,1,0.2368421,30.79906,28,44.21053,1,151.9574,6,0
17,1,0.1044776,23.29994,55,49.25373,4,170.0775,30,1
8,2,0.1,25.86604,14,42,1,150.3145,3,0
9,2,0.04166667,34.94304,20,50,2,167.2826,1,3
10,1,0.02597403,30.64108,63,49.09091,5,153.4807,17,2
13,1,0.1585366,27.58243,64,46.82927,1,154.5029,3,0
8,3,0.25,28.29289,7,52.5,2,154.5543,1,0
18,2,0.4035088,26.98248,46,48.42105,9,167.5708,5,0
1,1,0.3148148,17.83377,41,45.55556,4,171.7488,21,1
11,1,0.02941176,20.22432,23,40.58823,1,155.2045,29,1
13,2,0.05,25.26516,15,45,1,161.6732,10,0
2,2,0.1071429,27.02178,23,49.28571,1,154.3398,6,1
6,1,0.1428571,22.73035,44,47.14286,3,158.4121,10.5,1
1,2,0.5,25.84785,14,52.5,5,153.8659,1,1
12,1,0.09803922,22.13622,84,49.41177,2,156.9282,18,0
10,2,0.2,18.37294,25,50,4,165.5117,4,2
0,0,0.4344262,18.09977,101,49.67213,13,153.4703,13,0
15,2,0.1509434,20.16809,43,48.67924,1,152.938,39,1
16,0,0.1860465,28.74434,103,47.90698,15,157.5648,7,2
18,3,0.06666667,27.00548,22,44,6,154.3816,13,2
9,3,0.3170732,17.86622,36,52.68293,1,150.7174,9.5,0
14,2,0.2253521,33.92569,58,49.01408,25,155.8266,13,0
17,2,0.4130435,18.57822,33,43.04348,3,154.4182,4,1
19,2,0.3205128,22.02475,60,46.15385,2,161.0288,24.5,2
8,4,0.3958333,20.70715,42,52.5,1,155.4947,5,0
19,3,0.5,18.59126,10,50,1,160.0865,4,1
1,3,0.28125,24.27139,23,43.125,3,161.3288,6,0
1,4,0,36.53394,3,45,1,152.9485,0,0
6,2,0.325,13.72933,34,51,1,161.0574,2,2
11,2,0.254902,18.80892,37,43.52941,3,150.1216,2,1
7,1,0.0989011,24.32907,72,47.47253,15,156.4252,53,0
4,2,0.1566265,27.70457,69,49.87952,14,155.6233,4,1
10,3,0.05128205,34.48956,28,43.07692,5,154.4548,2,0
8,5,0.1818182,26.56017,16,43.63636,3,154.544,1,2
4,3,0.3333333,27.22862,9,45,3,153.0085,2,0
2,3,0.01724138,30.80902,49,50.68966,17,158.9601,36,1
15,3,0.2222222,18.17556,38,50.66667,3,161.538,13,0
14,3,0.4,24.08249,35,46.66667,2,157.944,2,1
1,5,0.2941177,23.55433,26,45.88235,3,163.2279,9,1
8,6,0.05,19.07429,15,45,1,154.4005,17,2
6,3,0.1142857,29.21215,25,42.85714,6,160.1461,1,1
9,4,0.8529412,7.026216,53,46.76471,1,151.8852,3.5,0
0,1,0.04761905,18.40064,70,50,3,165.2238,37.5,0
14,4,0.06451613,31.67964,25,48.3871,2,164.2463,4,0
17,3,0.02739726,21.16402,63,51.78082,1,150.377,10,0
19,4,0.1111111,15.98961,47,44.76191,1,150.0934,49,1
15,4,0.2075472,20.9613,45,50.9434,2,154.4181,25,1
9,5,0.1153846,25.84243,19,43.84615,2,159.7648,1,0
14,5,0.1904762,26.62494,17,48.57143,1,152.7743,8,0
16,1,0.3137255,16.64989,87,51.17647,1,158.4444,20,2
12,2,0.0619469,25.11719,81,43.00885,9,162.295,28,0
1,6,0.02173913,26.11419,40,52.17391,3,167.0279,23,1
14,6,0.4285714,22.58667,6,51.42857,1,153.2397,1,0
0,2,0.4333333,21.08411,24,48,5,156.9053,9,0
7,2,0.02409638,24.34981,64,46.26506,3,162.7274,11.5,1
8,7,0.03703704,31.7739,43,47.77778,18,164.5744,15,0
18,4,0.4545455,16.90029,82,44.72727,2,158.1551,9,0
11,3,0.3908046,14.90236,68,46.89655,5,154.9483,17,0
14,7,0,24.12185,11,47.14286,1,156.4299,0,0
17,4,0.4893617,14.82301,36,45.95745,2,164.0706,8.5,0
2,4,0.02352941,32.06215,70,49.41177,36,152.1075,9,1
7,3,0.125,24.71483,19,47.5,5,158.1561,4,2
1,7,0,17.605,30,48.64865,1,152.3125,0,1
6,4,0.6987952,14.66791,60,43.37349,2,153.8285,1,2
19,5,0.04918033,28.56959,48,47.21312,9,150.7482,14,0
8,8,0.1470588,28.91709,30,52.94118,4,154.4291,7,0
15,5,0,33.53762,37,45.30612,16,157.7751,0,0
2,5,0.1304348,22.01491,18,46.95652,1,153.8195,9,0
10,4,0.1900826,23.05793,103,51.07438,20,151.9729,51,1
18,5,0.02439024,30.25789,26,38.04878,2,157.3155,1,0
0,3,0.7692308,10.75949,43,49.61538,1,152.0883,2,0
9,6,0.3076923,22.88264,50,46.15385,3,157.8739,8,1
14,8,0.2444444,30.12794,35,46.66667,13,158.6252,9.5,0
2,6,0.25,22.07734,16,48,1,151.4971,4,1
16,2,0.04347826,36.18584,52,45.21739,24,153.2697,3,1
17,5,0.08888889,22.04683,40,53.33333,2,152.3447,2,0
8,9,0.1666667,24.13452,26,52,1,152.5978,15,0
0,4,0.03030303,31.28288,28,50.90909,9,155.1208,18,3
18,6,0.04878049,28.29492,30,43.90244,1,152.4841,1,1
5,1,0.1336032,21.11573,194,47.12551,5,161.5121,120,2
3,2,0.46,14.85088,235,47,0,131.3159,41.66667,0
