AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
12,0,0.25,22.35233,12,45,1,150.4637,1,0
5,0,0.2222222,28.57197,17,56.66667,2,159.9084,1,1
7,0,0.3157895,21.33005,17,53.68421,1,151.2511,8,0
6,0,0.05,27.43406,16,48,5,154.5586,1,1
1,0,0.04761905,32.05944,18,51.42857,1,151.6967,1,0
9,0,0.2083333,22.3736,18,45,1,159.4083,9,0
19,0,0.3928571,22.48889,24,51.42857,3,169.6309,3,0
10,0,0.03030303,23.97183,24,43.63636,1,152.7739,1,0
5,1,0.05882353,32.84662,11,38.82353,1,158.9513,6,1
0,0,0.6857143,16.17345,28,48,3,168.3078,1,0
7,1,0.04761905,20.48572,18,51.42857,2,152.9299,1,0
2,0,0,34.00263,32,46.82927,1,150.6684,0,0
13,0,0.1190476,23.84606,34,48.57143,1,154.5705,30,0
14,0,0.2,21.43578,36,48,1,151.9106,34,1
18,0,0.4680851,19.07434,33,42.12766,9,173.669,3.5,1
9,1,0.4583333,18.87539,22,55,2,159.7901,1,1
11,0,0.2830189,23.61336,40,45.28302,2,161.3735,1,1
0,1,0.1578947,36.04792,14,44.21053,6,167.6973,3,0
4,0,0.01785714,23.46895,42,45,2,152.9165,35,2
8,0,0.06896552,26.57518,43,44.48276,2,154.1552,15,0
11,1,0,28.7381,6,51.42857,1,164.7876,0,2
16,0,0.2878788,32.45542,50,45.45454,10,157.5948,5,0
9,2,0.4444444,16.68595,30,50,2,161.6094,8,0
7,2,0,33.37927,35,44.68085,15,156.9217,0,0
13,1,0.04255319,30.27579,36,45.95745,1,150.6021,19,0
18,1,0.3488372,18.67992,30,41.86047,3,156.7331,10.5,0
2,1,0.05172414,26.20498,47,48.62069,2,171.4322,49,1
10,1,0.08450704,23.0693,58,49.01408,10,155.1967,48,0
19,1,0,30.72683,58,44.61538,13,157.3767,0,0
