AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
9,0,0.3478261,20.25856,3,7.826087,1,162.01,8,0
16,0,0.4516129,19.10268,4,7.741935,1,154.3592,6,0
1,0,0.3939394,17.72383,3,5.454545,1,152.8551,10,0
5,0,0.5384616,18.9593,5,7.692307,1,162.863,1,0
19,0,0.2727273,18.12355,7,9.545455,7,165.7267,18,0
14,0,0.08510638,25.14171,6,7.659575,1,155.1628,5,0
11,0,0.2363636,18.98669,6,6.545455,1,155.5085,25,1
7,0,0.508772,20.14771,7,7.368421,6,167.1707,1.5,0
15,0,0.1111111,23.37219,4,3.809524,1,157.735,25,0
3,0,0.5810811,15.0406,5,4.054054,8,172.888,6,0
6,0,0.1351351,30.70359,5,4.054054,18,171.8217,15,0
13,0,0.3783784,13.70684,7,5.675676,1,154.7392,34,1
10,0,0.2533333,18.79651,9,7.2,4,154.873,9,0
9,1,0.3098592,14.45402,10,8.450705,2,158.009,17.5,2
4,0,0.04901961,18.16636,4,2.352941,1,164.1982,59,0
7,1,0.1372549,31.92524,4,4.705883,20,162.2149,18,0
2,0,0.1636364,19.3554,7,3.818182,2,175.0033,67,1
19,1,0.01470588,25.66872,6,5.294117,2,160.5245,32,2
12,0,0.6696429,17.14715,7,3.75,18,167.8603,2,0
14,1,0.3157895,26.61246,8,6.31579,29,161.5744,10,0
16,1,0.2826087,27.17383,11,7.173913,12,165.2416,9,1
6,1,0.509804,18.69901,5,5.882353,1,161.77,6,0
15,1,0.1451613,19.79942,7,6.774194,6,157.0322,12,0
11,1,0.1408451,19.39573,9,7.605634,4,168.1329,40,0
3,1,0.2105263,21.68326,6,6.31579,4,177.9509,1,0
13,1,0.625,16.41255,7,6.5625,4,161.8334,3.333333,0
7,2,0.2340426,24.74636,5,6.382979,6,160.0501,2,0
12,1,0.04255319,29.16553,8,10.21277,4,164.0024,26,1
9,2,0.2272727,21.30264,10,9.090909,1,155.9562,39,0
3,2,0.02702703,30.45873,5,8.108109,7,175.0064,16,0
0,0,0.4674556,14.62938,16,5.680473,7,156.7127,17.25,1
5,1,0.5801527,13.04393,10,4.580153,1,160.0884,16,0
1,1,0.5323741,12.44511,11,4.748201,4,154.1546,18.66667,1
17,0,0.6011561,13.84021,15,5.202312,1,155.9957,13.33333,0
11,2,0.03571429,22.41161,6,6.428571,6,170.324,3,0
18,0,0.1117021,20.79947,12,3.829787,2,165.8701,50,2
10,1,0.387931,19.70742,14,7.241379,10,150.2457,12.33333,0
4,1,0.1304348,22.73894,14,9.130435,14,159.0085,12.5,1
14,2,0.3013699,21.03588,11,9.041096,10,156.4478,3,0
16,2,0.0945946,23.94136,6,4.864865,1,156.4866,50,0
7,3,0.1538462,21.70292,5,5.769231,1,158.1503,19,0
6,2,0.1071429,29.578,6,4.285714,28,164.2888,17,0
15,2,0.04705882,29.30801,9,6.352941,1,155.8072,5,0
19,2,0.4705882,21.72521,6,3.529412,13,167.4968,33,0
0,1,0.1276596,27.45976,5,6.382979,1,162.538,14,0
9,3,0.45,16.50732,6,6,1,162.2524,13,0
5,2,0.2363636,22.16215,10,10.90909,4,153.6175,24,2
17,1,0.4423077,22.3916,6,6.923077,15,160.1844,4,0
6,3,0.5,16.92598,5,9.375,1,150.1104,3,1
3,3,0.1466667,22.03979,6,4.8,1,152.4139,10.5,0
9,4,0.4545455,15.41046,8,14.54545,3,163.2778,6,0
4,2,0.1525424,20.38709,6,6.101695,1,160.0942,37,0
13,2,0.5689655,10.98859,12,6.206897,1,151.2684,6.6,0
12,2,0.4270833,20.33953,10,6.25,1,150.7066,24,0
0,2,0.244898,32.39781,6,7.346939,23,164.0122,3,0
14,3,0.2285714,18.13646,8,6.857143,5,159.3499,20.5,1
2,1,0.1666667,21.9238,16,6.153846,2,150.8695,33,1
18,1,0.1463415,26.74085,9,6.585366,5,168.2025,28,0
10,2,0.5185185,15.1848,9,6.666667,9,159.1253,11,0
17,2,0.09803922,23.11572,7,8.235294,1,152.1835,38,0
15,3,0.3943662,28.44677,8,6.760563,24,155.8344,3,0
4,3,0.2093023,28.19393,7,9.767442,4,164.5081,8,1
18,2,0.03571429,35.94508,5,10.71429,2,159.51,1,1
0,3,0.1388889,21.16112,6,10,1,150.4496,7,0
5,3,0.2105263,24.36832,8,6.31579,2,152.1026,13,0
8,0,0.3566667,12.78921,13,2.6,0,92.1774,24.125,0
3,4,0.5483871,11.78714,5,4.83871,1,151.247,11,0
1,2,0.6015037,10.64524,16,7.218045,1,150.2368,8.666667,2
19,3,0.08163265,23.88131,10,6.122449,11,164.5382,12,0
2,2,0.6521739,17.5099,4,5.217391,10,163.9151,3,0
14,4,0.4677419,17.2311,8,7.741935,1,150.4617,26,0
15,4,0.03846154,26.78426,7,8.076923,11,163.2671,16,0
17,3,0.4032258,16.8938,8,7.741935,6,164.6045,7,2
1,3,0.4054054,15.91755,7,11.35135,1,152.8195,4,0
9,5,0.4130435,14.74237,7,4.565217,6,171.1184,15.66667,0
11,3,0.2098765,18.14919,13,4.814815,4,158.4041,20.33333,1
10,3,0.2162162,21.06923,7,5.675676,1,154.044,21,0
5,4,0.3469388,17.42641,4,4.897959,1,153.1199,24,1
13,3,0.556701,15.04698,10,6.185567,6,158.0506,5,0
0,4,0.1929825,26.56146,9,9.473684,13,160.8441,11,0
6,4,0.2118644,18.19084,11,5.59322,11,159.3132,54,1
8,1,0.368421,15.93136,5,5.263158,2,169.9264,11.5,1
4,4,0.8636364,11.5214,5,4.545455,1,160.7579,7,1
12,3,0.1875,18.19731,9,4.821429,8,159.7224,24.66667,0
19,4,0.45,13.75702,6,6,2,175.513,15,1
7,4,0.4970414,17.79569,13,4.615385,6,154.4821,25,0
18,3,0.3291139,13.67975,12,9.113924,2,152.6145,20.5,2
3,5,0.3827161,18.61125,9,6.666667,2,159.285,13,0
1,4,0.0212766,23.40892,4,5.106383,1,165.0062,29,1
14,5,0.3225806,18.7898,4,3.870968,5,170.3487,15,0
5,5,0,22.68187,5,7.317073,2,162.6561,0,1
2,3,0.1,23.27914,12,9,3,164.4048,49,1
10,4,0.1346154,17.57722,8,9.230769,4,153.3806,12.5,0
17,4,0.4166667,20.3495,9,9,1,158.0869,2.5,0
8,2,0.075,16.73154,6,9,1,150.83,31,0
9,6,0.4333333,24.03962,6,6,17,168.1652,1,0
16,3,0.1232227,20.29006,20,5.687204,5,158.2648,57.5,0
11,4,0.525641,19.7187,6,4.615385,14,171.0782,12,0
12,4,0.05,32.03829,9,9,13,152.5104,29,0
13,4,0.3376623,19.16847,6,4.675324,7,165.8075,5,1
4,5,0.2375,21.21012,6,4.5,1,160.656,23,0
6,5,0.1744186,22.06544,7,4.883721,2,167.3677,44,1
18,4,0.5584416,14.64232,10,7.792208,4,156.1673,11,0
5,6,0.09589041,19.79997,8,6.575343,1,150.4988,30,3
14,6,0.2692308,23.56179,11,8.461538,20,155.4315,14,1
1,5,0.4578313,10.90299,8,5.783133,1,155.5103,10.66667,0
8,3,0.05263158,21.74367,8,6.31579,8,170.0379,20.66667,0
13,5,0.212766,22.76395,4,5.106383,1,151.002,9,0
12,5,0,26.75388,7,8.571428,4,167.4693,0,0
19,5,0.3888889,17.46621,11,6.111111,2,154.688,55,1
16,4,0.4383562,19.94824,11,9.041096,11,159.8176,6,0
0,5,0.3015873,24.94035,11,5.238095,23,154.6828,9.333333,0
7,5,0.1559633,23.34317,12,6.605505,1,152.2822,28,3
17,5,0.2826087,21.92168,7,4.565217,1,156.722,19.5,0
6,6,0.1276596,25.65876,6,7.659575,8,163.3921,15,2
3,6,0.3211009,13.41559,10,5.504587,2,165.5274,33,1
13,6,0.5862069,16.04133,5,10.34483,1,154.2328,3,0
9,7,0.254902,21.80006,13,7.647059,11,158.5601,17,0
11,5,0.1411765,22.21821,9,6.352941,6,154.2047,35,0
0,6,0.25,25.52881,6,15,1,152.824,3,0
1,6,0.275,22.38138,7,10.5,3,161.0088,7,0
10,5,0.1709402,17.75019,16,8.205129,1,150.5358,42,1
2,4,0.3089431,15.23426,17,8.292683,2,152.3148,25,2
18,5,0.2424242,16.82435,7,6.363636,2,161.07,17,0
4,6,0.1445783,23.04629,7,5.060241,1,154.7741,49,0
5,7,0.3709677,19.63422,8,7.741935,1,158.5836,6,0
19,6,0.245614,24.16379,5,5.263158,6,152.2476,3,0
6,7,0.04347826,26.23501,6,7.826087,1,165.8634,21,0
0,7,0,34.02715,6,10.90909,10,166.6377,0,0
4,7,0.5,16.6291,4,10.90909,2,176.3544,4,1
3,7,0,27.63166,8,7.868853,4,165.5279,0,0
13,7,0.28125,19.21583,8,7.5,1,160.9243,18,1
9,8,0.3225806,22.52873,10,9.67742,1,152.3391,9,1
10,6,0.7321429,13.51535,7,7.5,8,165.4057,2,0
17,6,0.3764706,17.71922,8,5.647059,1,156.715,13,0
12,6,0.3909091,18.24989,6,3.272727,1,152.9953,21,0
18,6,0.6119403,18.81087,7,6.268657,6,165.1672,2,0
19,7,0.3137255,18.22983,6,7.058824,1,160.0996,11,0
15,5,0.0511811,22.98643,20,4.72441,2,154.9098,40.66667,2
5,8,0.1449275,19.52636,5,4.347826,1,152.6458,15,0
13,8,0.03333334,26.11243,6,12,2,175.3813,17,0
0,8,0.3823529,21.27542,10,8.823529,10,162.7732,1,1
10,7,0.4871795,16.79411,6,9.230769,5,159.0155,1,0
4,8,0.234375,17.56306,7,6.5625,1,160.4762,44,1
3,8,0.0483871,23.67719,6,5.806452,2,169.0678,15,1
2,5,0.1262136,22.70812,12,6.990291,4,161.4514,15,0
19,8,0.09375,39.59011,4,7.5,17,172.2217,10,0
13,9,0.5142857,13.31262,4,6.857143,1,159.0499,1,0
16,5,0.3630573,17.69445,15,5.732484,22,156.8385,12.5,0
8,4,0.4745763,16.87116,13,4.40678,9,159.0705,22.5,1
6,8,0.4628099,13.61965,18,8.92562,3,158.1557,14.33333,3
12,7,0.2098765,24.31777,11,8.148149,13,157.5591,14,0
14,7,0.315,18.07996,20,6,1,153.8114,39.33333,3
3,9,0.7307692,13.91966,7,8.076923,4,162.7902,1,0
9,9,0.3486238,13.32753,10,5.504587,3,161.6342,14,0
15,6,0.2473118,25.87679,11,7.096774,4,161.9303,11,1
18,7,0.3469388,21.2745,13,7.959184,16,154.5962,27,1
17,7,0.5042735,11.77925,8,4.102564,1,153.9903,31,0
19,9,0.09333333,21.82337,14,11.2,2,158.7952,23,1
13,10,0.2857143,28.13514,7,6.666667,20,163.6994,6,1
4,9,0.3953488,19.64366,10,6.976744,2,159.9118,26,1
1,7,0.2804233,20.58478,19,6.031746,3,152.4178,38,2
11,6,0.2039801,17.23585,13,3.880597,15,160.488,43.66667,0
10,8,0.1980198,23.57261,9,5.346535,3,169.8418,7,0
5,9,0.1652893,24.62244,12,5.950413,21,157.1497,65,0
15,7,0.6666667,11.7731,5,7.692307,1,153.7469,1.5,0
18,8,0.3333333,17.92966,5,8.333333,1,156.6118,2,1
16,6,0.2528736,16.30931,6,4.137931,1,153.8612,20.5,0
7,6,0.0746888,20.1438,9,2.240664,2,161.0935,43.66667,1
2,6,0.3392857,15.54026,13,6.964286,2,160.3365,22.33333,2
14,8,0.2142857,25.03146,7,6,1,150.3259,15,0
6,9,0.1625,22.23231,13,9.75,5,156.7476,47,0
8,5,0.01075269,32.39997,12,7.741935,21,154.038,48,0
10,9,0.05128205,25.51819,4,6.153846,1,157.2087,6,0
1,8,0.05882353,21.15929,9,10.58823,1,162.0439,6,1
17,8,0.3230769,16.16275,8,7.384615,1,156.5774,23,0
16,7,0.2857143,20.12907,4,6.857143,7,166.328,17,1
1,9,0.4285714,20.01665,4,17.14286,1,153.384,1,1
8,6,0.4285714,25.01428,5,14.28571,1,153.7012,1,1
4,10,0.5696203,15.48217,9,6.835443,1,152.7325,9,0
12,8,0.5818182,9.725224,11,6,1,167.4303,16,0
19,10,0.4047619,19.38225,10,7.142857,17,160.2393,14.5,1
0,9,0.1627907,22.34041,17,5.930233,6,156.5286,9.333333,2
15,8,0.1044776,22.72556,8,7.164179,5,155.7845,12,0
9,10,0.04545455,22.16635,14,7.636364,3,153.9029,23,2
11,7,0.4230769,15.80635,7,5.384615,1,156.6575,9,0
13,11,0.1894737,21.6313,9,5.68421,1,151.6916,24,0
7,7,0.3692308,18.73378,7,6.461538,11,160.4037,7.5,1
